phone_url,date,lang,country,source,domain,score,score_max,extract,author,product
/cellphones/samsung-galaxy-s8/,5/2/2017,en,us,Verizon Wireless,verizonwireless.com,10,10,"As a diehard Samsung fan who has had every Samsung phone since before the S series started, this has been my favorite upgrade so far. I am amazed at some of the reviews and think people may just have a defective device that needs to be replaced. The battery life is amazing.",CarolAnn35,Samsung Galaxy S8
/cellphones/samsung-galaxy-s8/,4/28/2017,en,us,Phone Arena,phonearena.com,10,10,Love the phone. the phone is sleek and smooth and beautiful I highly recommend the phone you will not regret getting this phone.,james0923,Samsung Galaxy S8
/cellphones/samsung-galaxy-s8/,5/4/2017,en,us,Amazon,amazon.com,6,10,Adequate feel. Nice heft. Processor's still sluggish for the few apps that I have installed. Samsung wants to vacuum all of your data with their apps that requires more access than needed. What else is new.,R. Craig,"Samsung Galaxy S8 (64GB) G950U 5.8"" 4G LTE Unlocked (GSM + CDMA, US WARRANTY) (Orchid Gray)"
/cellphones/samsung-galaxy-s8/,5/2/2017,en,us,Samsung,samsung.com,9.2,10,"Never disappointed. One of the reasons I've been a long Samsung (product) consumer, they're ability to impress me with each product release. I've owned, or maintained, all Samsung smartphones starting with the S4 and the S8 is the best one yet.",Buster2020 ,Samsung Galaxy S8 64GB (AT&T)
/cellphones/samsung-galaxy-s8/,5/11/2017,en,us,Verizon Wireless,verizonwireless.com,4,10,I've now found that i'm in a group of people that have carried their phone in their pocket without problems until the S8. Day one screen has crack from being in my pocket. Bluetooth on my 1st trip struggles to stay connected. Good news.....battery life is great and lots of great features.,S Ate Mine,Samsung Galaxy S8
/cellphones/samsung-galaxy-s8/,5/10/2017,en,us,Verizon Wireless,verizonwireless.com,10,10,"I am the type of person who never would completely be sold on a phone I really was not into Samsung until the S7 (Before that I had a Galaxy Nexus, but that was a Google phone). I got the S7 because at the time the fries made the most sense for me.",BDB76,Samsung Galaxy S8
/cellphones/samsung-galaxy-s8/,5/10/2017,en,us,Verizon Wireless,verizonwireless.com,4,10,"The way this Samsung S8 phone operates is more cumbersome than my previous phone, HTC M9. When making a call you must select phone and then select the dial pad. It should automatically go to the dial pad.",KLC30306,Samsung Galaxy S8
/cellphones/samsung-galaxy-s8/,5/10/2017,en,us,Verizon Wireless,verizonwireless.com,6,10,I bought this phone very excited to use it. I agree with all the other reviews stating that trying to use a glass screen protector with it is a nightmare. I have so far has 2 different screen protectors on it and both times they have made it difficult for me to tap on the screen.,Mnhy,Samsung Galaxy S8
/cellphones/samsung-galaxy-s8/,5/10/2017,en,us,Verizon Wireless,verizonwireless.com,6,10,"It is an extremely advanced and truly a Smart phone. Great apps, great look. BUT, the durability is that of a fresh egg. Don't consider this phone without insurance. The screen is fragile and one crack voids warranty. Won't buy another Samsung based on their lack of support for a poor design.",Mr Alan,Samsung Galaxy S8
/cellphones/samsung-galaxy-s8/,5/10/2017,en,us,Verizon Wireless,verizonwireless.com,8,10,"Great phone with a PHENOMENAL Camera, not all that hard to get use to. However the screen IS NOT 5.8,"" it's not all that bigger than my S7 Edge. So maybe a 5.6"" screen, it just looks bigger cus it's not as wide as my S7 Edge, takes amazing pictures.",Raven Wolf Song,Samsung Galaxy S8
/cellphones/samsung-galaxy-s8/,5/8/2017,en,gb,Very,very.co.uk,10,10,"I initially wasn't 100% certain about this handset, coming from the Nexus line I am very much used to a stock Android OS, I was worried about bloatware and various other things Samsung would add.",Settoloki,"Samsung Galaxy S8, 64Gb - Black"
